English,Italian
Public IP,IP pubblico
Activity Report,Rapporto attività
Push Status,Stato push
Last DID Call Date,Data ultima chiamata DID
Last Outbound Call Date,Data ultima chiamata in uscita
Login Activity,Attività di accesso
Last DID Call From Date,Ultima chiamata DID dalla data
Last DID Call To Date,Ultima chiamata fatta ad oggi
Last Outbound Call From Date,Ultima chiamata in uscita dalla data
Last Outbound Call To Date,Ultima chiamata in uscita fino ad oggi
Find Time(min),Trova tempo (min)
Login Activity Report,Rapporto attività di accesso
Assorted,Assortiti
Auto Refresh Page,Pagina di aggiornamento automatico
Ticket Digits,Cifre del biglietto
Recording Number,Numero di registrazione
Hybrid Routing,Routing ibrido
Opensips Public Host,Host pubblico di Opensips
Ban Time(min),Tempo di ban (min)
SMS Logs,Registri SMS
Ported Number,Numero di porta
FTP Details,Dettagli FTP
Admin Notification Email,Email di notifica dell'amministratore
Term and Condition URL,URL di termini e condizioni
Invoice Debug,Debug fattura
Wrong Attempts/Customer/Days,Tentativi / cliente / giorni errati
(Fixed tax),(Imposta fissa)
Assign Product,Assegna prodotto
Search by code,Cerca per codice
INVOICE HISTORY,STORIA DELLA FATTURA
PAYMENT HISTORY,STORICO DEI PAGAMENTI
Please Insert Amount,Si prega di inserire l'importo
Special Note,Nota speciale
Low Balance Threshold,Soglia di bilanciamento basso
No Balance Threshold,Nessuna soglia di bilanciamento
Max amount per call,Importo massimo per chiamata
Alert Type,Tipo di avviso
Heartbeat,Battito cardiaco
Hangup,Appendere
Available Credit limit,Limite di credito disponibile
